param,material,process,best_system,best_color,best_n,best_median_abs_diff_pct,best_q25_abs_diff_pct,best_q75_abs_diff_pct,best_mean_abs_diff_pct,best_category
rsk,c45,b,FV,blue,1,18.98188406112,18.98188406112,18.98188406112,18.98188406112,10--30\%
rsk,c45,gla,FV,green,1,0.641594217700701,0.641594217700701,0.641594217700701,0.641594217700701,<10\%
rsk,c45,gri,int,white,1,3.02935517527344,3.02935517527344,3.02935517527344,3.02935517527344,<10\%
rsk,c45,hon,fusion,blue,1,17.2398018235869,17.2398018235869,17.2398018235869,17.2398018235869,10--30\%
rsk,c45,mf,fusion,red,1,21.9726407463563,21.9726407463563,21.9726407463563,21.9726407463563,10--30\%
rsk,c45,mr,conf,green,1,15.6846749262007,15.6846749262007,15.6846749262007,15.6846749262007,10--30\%
rsk,c45,tf,fusion,red,1,48.0421815154042,48.0421815154042,48.0421815154042,48.0421815154042,>30\%
rsk,c45,tr,fusion,red,1,2.6998694563001,2.6998694563001,2.6998694563001,2.6998694563001,<10\%
rsk,c45,wedm_f,FV,green,1,6.45313137076041,6.45313137076041,6.45313137076041,6.45313137076041,<10\%
rsk,c45,wedm_r,int,green,1,0.645960518842952,0.645960518842952,0.645960518842952,0.645960518842952,<10\%
rsk,ellor,gla,int,white,1,58.5448150392565,58.5448150392565,58.5448150392565,58.5448150392565,>30\%
rsk,ellor,gri,FV,red,1,0.958582063511125,0.958582063511125,0.958582063511125,0.958582063511125,<10\%
rsk,ellor,hon,int,white,1,17.0114365107231,17.0114365107231,17.0114365107231,17.0114365107231,10--30\%
rsk,ellor,mf,int,red,1,5.91431664777544,5.91431664777544,5.91431664777544,5.91431664777544,<10\%
rsk,ellor,mr,int,green,1,1.84201657318009,1.84201657318009,1.84201657318009,1.84201657318009,<10\%
rsk,ellor,tf,int,white,1,19.3235855957839,19.3235855957839,19.3235855957839,19.3235855957839,10--30\%
rsk,ellor,tr,fusion,red,1,16.5822066575038,16.5822066575038,16.5822066575038,16.5822066575038,10--30\%
rsk,ellor,wedm_f,int,white,1,17.2616716372612,17.2616716372612,17.2616716372612,17.2616716372612,10--30\%
rsk,ellor,wedm_r,int,red,1,27.5583513848607,27.5583513848607,27.5583513848607,27.5583513848607,10--30\%
rsk,mo58a,b,fusion,red,1,25.2459994534506,25.2459994534506,25.2459994534506,25.2459994534506,10--30\%
rsk,mo58a,gla,int,white,1,0.0490954775974709,0.0490954775974709,0.0490954775974709,0.0490954775974709,<10\%
rsk,mo58a,gri,int,green,1,9.16132304118614,9.16132304118614,9.16132304118614,9.16132304118614,<10\%
rsk,mo58a,hon,FV,blue,1,191.809765186659,191.809765186659,191.809765186659,191.809765186659,>100\%
rsk,mo58a,mf,FV,green,1,12.3520755560827,12.3520755560827,12.3520755560827,12.3520755560827,10--30\%
rsk,mo58a,mr,FV,blue,1,4.07218011231567,4.07218011231567,4.07218011231567,4.07218011231567,<10\%
rsk,mo58a,tf,fusion,green,1,11.3121327985584,11.3121327985584,11.3121327985584,11.3121327985584,10--30\%
rsk,mo58a,tr,fusion,red,1,4.54174216238142,4.54174216238142,4.54174216238142,4.54174216238142,<10\%
rsk,mo58a,wedm_f,int,red,1,4.32076227725869,4.32076227725869,4.32076227725869,4.32076227725869,<10\%
rsk,mo58a,wedm_r,int,blue,1,71.8912293393601,71.8912293393601,71.8912293393601,71.8912293393601,>30\%
rsk,ti6al4v,b,int,blue,1,0.472430994848554,0.472430994848554,0.472430994848554,0.472430994848554,<10\%
rsk,ti6al4v,gla,fusion,blue,1,18.396857762176,18.396857762176,18.396857762176,18.396857762176,10--30\%
rsk,ti6al4v,gri,FV,blue,1,30.4205220969215,30.4205220969215,30.4205220969215,30.4205220969215,>30\%
rsk,ti6al4v,hon,FV,red,1,28.2089151263136,28.2089151263136,28.2089151263136,28.2089151263136,10--30\%
rsk,ti6al4v,mf,fusion,blue,1,81.8184589358449,81.8184589358449,81.8184589358449,81.8184589358449,>30\%
rsk,ti6al4v,mr,FV,red,1,59.905466010624,59.905466010624,59.905466010624,59.905466010624,>30\%
rsk,ti6al4v,tf,int,white,1,24.2650549303303,24.2650549303303,24.2650549303303,24.2650549303303,10--30\%
rsk,ti6al4v,tr,FV,green,1,3.46634962933301,3.46634962933301,3.46634962933301,3.46634962933301,<10\%
rsk,ti6al4v,wedm_f,FV,green,1,1.45427197833504,1.45427197833504,1.45427197833504,1.45427197833504,<10\%
rsk,ti6al4v,wedm_r,FV,red,1,4.07631907067358,4.07631907067358,4.07631907067358,4.07631907067358,<10\%
